    alpha        CL         CD         CDi        CD0        CY         CM         Cl         Cn        L/D   
    11.900      1.496      0.126      0.068      0.027      0.000     -1.231     -0.000     -0.000     11.839
    12.000      1.509      0.128      0.070      0.027      0.000     -1.245      0.000     -0.000     11.803
    12.100      1.522      0.129      0.071      0.028      0.000     -1.259      0.000     -0.000     11.766
    12.200      1.534      0.131      0.072      0.028      0.000     -1.271      0.000      0.000     11.729
    12.300      1.547      0.132      0.073      0.029      0.000     -1.284     -0.000      0.000     11.690
    12.400      1.559      0.134      0.074      0.029      0.000     -1.295     -0.000      0.000     11.652
    12.500      1.572      0.135      0.075      0.029      0.000     -1.306      0.000     -0.000     11.612
    12.600      1.584      0.137      0.076      0.030      0.000     -1.317      0.000      0.000     11.572
    12.700      1.596      0.138      0.078      0.030      0.000     -1.328      0.000     -0.000     11.531
    12.800      1.608      0.140      0.079      0.030      0.000     -1.339      0.000     -0.000     11.490
    12.900      1.621      0.142      0.080      0.031      0.000     -1.349     -0.000     -0.000     11.448
    13.000      1.633      0.143      0.081      0.031      0.000     -1.359      0.000     -0.000     11.406
    13.100      1.644      0.145      0.082      0.032      0.000     -1.369      0.000      0.000     11.364
    13.200      1.656      0.146      0.083      0.032      0.000     -1.379      0.000     -0.000     11.321
    13.300      1.668      0.148      0.085      0.033      0.000     -1.388     -0.000     -0.000     11.277
    13.400      1.679      0.149      0.086      0.033      0.000     -1.396      0.000     -0.000     11.233
    13.500      1.690      0.151      0.087      0.033      0.000     -1.404      0.000     -0.000     11.188
    13.600      1.701      0.153      0.088      0.034      0.000     -1.412      0.000     -0.000     11.143
    13.700      1.712      0.154      0.089      0.034      0.000     -1.420     -0.000     -0.000     11.098
    13.800      1.722      0.156      0.090      0.035      0.000     -1.427      0.000     -0.000     11.053
    13.900      1.732      0.157      0.091      0.035      0.000     -1.434      0.000      0.000     11.008
    14.000      1.742      0.159      0.092      0.036      0.000     -1.440      0.000      0.000     10.962
    14.100      1.752      0.160      0.093      0.036      0.000     -1.446     -0.000      0.000     10.917
    14.200      1.761      0.162      0.094      0.037      0.000     -1.452      0.000     -0.000     10.871
    14.300      1.771      0.164      0.095      0.037      0.000     -1.459      0.000      0.000     10.825
    14.400      1.780      0.165      0.096      0.038      0.000     -1.465     -0.000     -0.000     10.780
    14.500      1.789      0.167      0.097      0.038      0.000     -1.471      0.000     -0.000     10.734
    14.600      1.798      0.168      0.098      0.039      0.000     -1.477      0.000     -0.000     10.687
    14.700      1.807      0.170      0.099      0.039      0.000     -1.482      0.000      0.000     10.642
    14.800      1.815      0.171      0.100      0.040      0.000     -1.487      0.000     -0.000     10.596
    14.900      1.824      0.173      0.101      0.041      0.000     -1.492     -0.000      0.000     10.550
    15.000      1.832      0.174      0.102      0.041      0.000     -1.497      0.000      0.000     10.504
    15.100      1.840      0.176      0.103      0.042      0.000     -1.503      0.000     -0.000     10.458
    15.200      1.848      0.178      0.104      0.042      0.000     -1.508      0.000      0.000     10.412
    15.300      1.856      0.179      0.105      0.043      0.000     -1.513      0.000      0.000     10.366
    15.400      1.864      0.181      0.106      0.044      0.000     -1.519      0.000      0.000     10.320
    15.500      1.872      0.182      0.107      0.044      0.000     -1.524      0.000      0.000     10.274
    15.600      1.879      0.184      0.108      0.045      0.000     -1.529      0.000     -0.000     10.227
    15.700      1.886      0.185      0.109      0.045      0.000     -1.534      0.000     -0.000     10.179
    15.800      1.894      0.187      0.110      0.046      0.000     -1.541     -0.000      0.000     10.132
    15.900      1.901      0.188      0.111      0.047      0.000     -1.548      0.000     -0.000     10.085
    16.000      1.908      0.190      0.112      0.048      0.000     -1.554     -0.000      0.000     10.038
    16.100      1.915      0.192      0.113      0.048      0.000     -1.560      0.000     -0.000      9.991
    16.200      1.922      0.193      0.113      0.049      0.000     -1.568      0.000     -0.000      9.944
    16.300      1.929      0.195      0.114      0.050      0.000     -1.575      0.000      0.000      9.897
    16.400      1.936      0.197      0.115      0.051      0.000     -1.581      0.000     -0.000      9.850
    16.500      1.942      0.198      0.116      0.051      0.000     -1.588     -0.000      0.000      9.801
    16.600      1.949      0.200      0.117      0.052      0.000     -1.595      0.000     -0.000      9.751
    16.700      1.955      0.202      0.118      0.053      0.000     -1.601      0.000     -0.000      9.701
    16.800      1.961      0.203      0.119      0.054      0.000     -1.608      0.000     -0.000      9.651
